column,trait_type,instructions,data_type,values,data_collection_source,search_terms,rfishbase_functions,rfishbase_fields,links
class,,Class name of species,annotation,,,,,,
order,,Order name of species,annotation,,,,,,
family,,Family name of species,annotation,,,,,,
genus,,Genus name of species,annotation,,,,,,
sci_name,,Species scientific name,annotation,genus + species,,,,,
alt_names,,"Alternate scientific names used, list multiple",annotation,genus + species,,,,,
tax_level,,Level of taxonomic identification,categorical,"class, order, family, genus, species",,,,,
life_stage,,Taxon life stage,categorical,"adult, juvenile, larva",,,,,
trait_note,,"Annotate level of difficulty or ease of obtaining information, and volume of information available",annotation,"E.g.: ""almost nothing known"", ""some species-level info"", ""high species-level info""",,,,,
trait_confidence,,"Trait confidence. High = confident, many species-level resources for all traits variables; medium = fewer resources available, some missing values; low = little to no species-level information, many missing values.",categorical,"high, medium, low",Personal observation,,,,
depth_min,habitat,Minimum depth limit recorded for this species.,continuous,depth (m),FishBase/SeaLifeBase; Literature,"""genus species"" AND depth",species,DepthRangeShallow,
depth_max,habitat,Maximum depth limit recorded for this species.,continuous,depth (m),FishBase/SeaLifeBase; Literature,"""genus species"" AND depth",species,DepthRangeDeep,
temp_min,habitat,Minimum temperature limit recorded for this species,continuous,temperature (˚C),FishBase/SeaLifeBase; Literature,"""genus species"" AND temperature",estimate,TempPrefMin,
temp_max,habitat,Maximum temperature limit recorded for this species,continuous,temperature (˚C),FishBase/SeaLifeBase; Literature,"""genus species"" AND temperature",estimate,TempPrefMax,
temp_mean,habitat,Average temperature recorded for this species,continuous,temperature (˚C),FishBase/SeaLifeBase; Literature,"""genus species"" AND temperature",estimate,TempPrefMean,
vert_habitat,habitat,"Primary vertical habitat association; depth information is useful. benthic = on the benthos, demersal = associated with benthos but in the water column, epipelagic = <200m/photic zone, mesopelagic = 200-1000m/aphotic, bathypelagic = 1000-4000m",categorical,"benthic, demersal, epipelagic, mesopelagic, bathypelagic",FishBase/SeaLifeBase; Literature,"""genus species"" AND (distribution OR habitat OR ecosystem OR ""geographic range"")",ecology; species,"Epipelagic, Mesopelagic, Bathypelagic, Benthic, Demersal, AddRems; Comments",
vert_habitat_2,habitat,"Secondary habitat association, or any additional categories that the animal belongs to",categorical,"benthic, demersal, epipelagic, mesopelagic, bathypelagic",FishBase/SeaLifeBase; Literature,"""genus species"" AND (distribution OR habitat OR ecosystem OR ""geographic range"")",ecology; species,"Epipelagic, Mesopelagic, Bathypelagic, Benthic, Demersal, AddRems; Comments",
vert_habitat_3,habitat,"Tertiary vertical habitat associaiton, or any additional categories that the animal belongs to",categorical,"benthic, demersal, epipelagic, mesopelagic, bathypelagic",FishBase/SeaLifeBase; Literature,"""genus species"" AND (distribution OR habitat OR ecosystem OR ""geographic range"")",ecology; species,"Epipelagic, Mesopelagic, Bathypelagic, Benthic, Demersal, AddRems; Comments",
