"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","trait_note","trait_confidence","depth_min","depth_max","temp_min","temp_max","temp_mean","vert_habitat","vert_habitat_2","vert_habitat_3","vert_ordinal","vert_benthic","vert_demersal","vert_epipelagic","vert_mesopelagic","vert_bathypelagic","horz_habitat","horz_habitat_2","horz_habitat_3","horz_ordinal","horz_intertidal","horz_reef","horz_coastal","horz_continental_shelf","horz_continental_slope","horz_oceanic","habitat_note","habitat_note2","habitat_ref","habitat_url","habitat_ref2","habitat_url2","habitat_ref3","habitat_url3","habitat_ref4","habitat_url4","DemersPelag","diel_migrant","diel_note","diel_note2","diel_ref","diel_url","diel_ref2","diel_url2","diel_ref3","diel_url3","refuge","refuge_note","refuge_ref","refuge_url","refuge_ref2","refuge_url2","refuge_ref3","refuge_url3","refuge_ref4","refuge_url4","season_migrant","season_note","season_ref","season_url","season_ref2","season_url2","season_ref3","season_url3","AnaCat","gregarious_original","gregarious","gregarious_2","gregarious_3","gregarious_ordinal","gregarious_solitary","gregarious_shoaling","gregarious_schooling","gregarious_note","gregarious_ref","gregarious_url","gregarious_ref2","gregarious_url2","gregarious_ref3","gregarious_url3","addl_ref","addl_url","addl_ref2","addl_url2","addl_ref3","addl_url3","addl_ref4","addl_url4"
"Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber",NA,"species","adult","species level info, but not a lot out there","medium",0,800,NA,NA,NA,"benthic",NA,NA,1,1,0,0,0,0,"coastal","continental shelf","continental slope",3,0,0,1,1,1,0,NA,NA,"Abelló, P., Valladares, F. J. & Castellón, A. Analysis of the structure of decapod crustacean assemblages off the Catalan coast (North-West Mediterranean). Marine Biology 98, 39–49 (1988).","10.1007/BF00392657",NA,NA,NA,NA,NA,NA,"benthic",1,"These species inhabit the greater portion of the water column and carry out diel vertical migrations",NA,"Cartes, J. E., Sorbe, J. C. & Sardà, F. Spatial distribution of deep-sea decapods and euphausiids near the bottom in the northwestern Mediterranean. Journal of Experimental Marine Biology and Ecology 179, 131–144 (1994).","10.1016/0022-0981(94)90021-3",NA,NA,NA,NA,1,"burrowing, cryptic species",NA,NA,NA,NA,NA,NA,NA,NA,0,"sessile, not known to migrate",NA,NA,NA,NA,NA,NA,NA,"Not much known","shoaling","solitary",NA,2,1,1,0,"burrowing shrimp",NA,NA,NA,NA,NA,NA,"Google Images. https://images.google.com/ (2023).","https://images.google.com/","Atkinson, R. J. A., Gramitto, M. E. & Froglia, C. Aspects of the biology of the burrowing shrimp Alpheus glaber (Olivi) (Decapoda: Caridea: Alpheidae) from the Central Adriatic. Ophelia 57, 27–42 (2003).","10.1080/00785236.2003.10409503",NA,NA,NA,NA
"Actinopterygii","Gadiformes","Gadidae","Microgadus","Microgadus proximus",NA,"species","juvenile","decent - species level info","high",0,275,3.4,9.5,5.8,"demersal",NA,NA,2,0,1,0,0,0,"continental shelf",NA,NA,4,0,0,0,1,0,0,"demersal",NA,"Abookire, A. A. & Rose, C. S. Modifications to a plumb staff beam trawl for sampling uneven, complex habitats. Fisheries Research 71, 247–254 (2005).","10.1016/j.fishres.2004.06.006",NA,NA,NA,NA,NA,NA,"demersal",1,"likely tidal and boyancy drive",NA,"Laprise, R. & Dodson, J. J. The mechanism of retention of pelagic tomcod, Microgadus tomcod, larvae and juveniles in the well-mixed part of the St. Lawrence Estuary. Environ Biol Fish 29, 293–302 (1990).","10.1007/BF00001186",NA,NA,NA,NA,1,"use complex habitat","Abookire, A. A. & Rose, C. S. Modifications to a plumb staff beam trawl for sampling uneven, complex habitats. Fisheries Research 71, 247–254 (2005).","10.1016/j.fishres.2004.06.006",NA,NA,NA,NA,NA,NA,1,"Young move into shallow waters in summer and fall","Froese, R. & Pauly, D. FishBase. FishBase https://www.fishbase.se/search.php (2023).","https://www.fishbase.se/summary/Microgadus-proximus.html",NA,NA,NA,NA,NA,"schooling","schooling",NA,NA,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Froese, R. & Pauly, D. FishBase. FishBase https://www.fishbase.se/search.php (2023).","https://www.fishbase.se/summary/Microgadus-proximus.html",NA,NA,NA,NA,NA,NA
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti",NA,"species","adult","species level info, but not a lot out there","medium",394,1800,2,4.7,3.1,"mesopelagic","bathypelagic",NA,4,0,0,0,1,1,"continental slope","continental shelf",NA,5,0,0,0,1,1,0,NA,NA,"Abookire, A. A., Piatt, J. F. & Speckman, S. G. A nearsurface, daytime occurrence of two mesopelagic ﬁsh species (Stenobrachius leucopsarus and Leuroglossus schmidti) in a glacial fjord. Fishery Bulletin 100, 376–380 (2002).","https://aquadocs.org/bitstream/handle/1834/31069/17abooki.pdf?sequence=1",NA,NA,NA,NA,NA,NA,"pelagic-oceanic",1,NA,NA,"Kitamura, M. & Murata, N. Seasonal occurrence and vertical distribution of larval and juvenile northern smoothtongue, Leuroglossus schmidti (Pisces, Bathylagidae), in the western subarctic Pacific. J. Mar. Biol. Ass. 100, 969–977 (2020).","10.1017/S002531542000082X",NA,NA,NA,NA,0,"pelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Anguilliformes","Congridae","Gnathophis","Gnathophis cinctus","Gnathophis cinctus; Atopichthys cinctus Garman; Gnathophis catalinensis (Wade, 1946); Rhynchocymba catalinensis","species","larva","almost nothing known","low",NA,NA,NA,NA,NA,"epipelagic",NA,NA,3,0,0,1,0,0,"coastal","continental shelf",NA,3,0,0,1,1,0,0,NA,NA,"Aceves-Medina, G. et al. Fish larvae from the Gulf of California. Scientia Marina 67, 1–11 (2003).","10.3989/scimar.2003.67n11",NA,NA,NA,NA,NA,NA,"pelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"pelagic","Robertson, D. R. & Allen, G. R. Shorefishes of the Tropical Eastern Pacific: online information system. Smithsonian Tropical Research Institute https://biogeodb.stri.si.edu/sftep/en/pages (2015).","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plankton","schooling",NA,NA,3,0,0,1,"pelagic, planktonic larvae","Robertson, D. R. & Allen, G. R. Shorefishes of the Tropical Eastern Pacific: online information system. Smithsonian Tropical Research Institute https://biogeodb.stri.si.edu/sftep/en/pages (2015).","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus zophochir","Ophichthus zophochir","species","larva","almost nothing known","low",NA,NA,NA,NA,NA,"epipelagic",NA,NA,3,0,0,1,0,0,"coastal","continental shelf",NA,3,0,0,1,1,0,0,NA,NA,"Aceves-Medina, G. et al. Fish larvae from the Gulf of California. Scientia Marina 67, 1–11 (2003).","10.3989/scimar.2003.67n11",NA,NA,NA,NA,NA,NA,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"pelagic","Robertson, D. R. & Allen, G. R. Shorefishes of the Tropical Eastern Pacific: online information system. Smithsonian Tropical Research Institute https://biogeodb.stri.si.edu/sftep/en/pages (2015).","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plankton","schooling",NA,NA,3,0,0,1,"pelagic, planktonic larvae","Robertson, D. R. & Allen, G. R. Shorefishes of the Tropical Eastern Pacific: online information system. Smithsonian Tropical Research Institute https://biogeodb.stri.si.edu/sftep/en/pages (2015).","https://biogeodb.stri.si.edu/sftep/en/thefishes/species/407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Pleuronectiformes","Achiridae","Achirus","Achirus mazatlanus","Achirus mazatlanus; Solea mazatlana Steindachner, 1871","species","larva","almost nothing known","low",NA,NA,NA,NA,NA,"epipelagic",NA,NA,3,0,0,1,0,0,"coastal",NA,NA,3,0,0,1,0,0,0,NA,NA,"Aceves-Medina, G. et al. Vertical structure of larval fish assemblages during diel cycles in summer and winter in the southern part of Bahía de La Paz, México. Estuarine, Coastal and Shelf Science 76, 889–901 (2008).","10.1016/j.ecss.2007.08.016",NA,NA,NA,NA,NA,NA,"demersal",0,NA,NA,"Aceves-Medina, G. et al. Vertical structure of larval fish assemblages during diel cycles in summer and winter in the southern part of Bahía de La Paz, México. Estuarine, Coastal and Shelf Science 76, 889–901 (2008).","10.1016/j.ecss.2007.08.016",NA,NA,NA,NA,0,"pelagic","Aceves-Medina, G. et al. Vertical structure of larval fish assemblages during diel cycles in summer and winter in the southern part of Bahía de La Paz, México. Estuarine, Coastal and Shelf Science 76, 889–901 (2008).","10.1016/j.ecss.2007.08.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"amphidromous","planktonic","schooling",NA,NA,3,0,0,1,NA,"Aceves-Medina, G. et al. Vertical structure of larval fish assemblages during diel cycles in summer and winter in the southern part of Bahía de La Paz, México. Estuarine, Coastal and Shelf Science 76, 889–901 (2008).","10.1016/j.ecss.2007.08.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Synodontidae","Synodus","Synodus lucioceps","Synodus lucioceps","species","juvenile","almost nothing known","low",1,229,15.2,25.9,21.6,"demersal","epipelagic","mesopelagic",2,0,1,1,1,0,"reef-associated","coastal",NA,2,0,1,1,0,0,0,NA,NA,"Aceves-Medina, G., Jiménez-Rosenberg, S. P. A. & Durazo, R. Fish larvae as indicator species of interannual environmental variability in a subtropical transition area off the Baja California peninsula. Deep Sea Research Part II: Topical Studies in Oceanography 169–170, 1–14 (2019).","10.1016/j.dsr2.2019.07.019",NA,NA,NA,NA,NA,NA,"reef-associated",0,"demersal, unlikely",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"seasonal spawning & movements",NA,NA,NA,NA,NA,NA,NA,"solitary","solitary","shoaling",NA,1,1,1,0,"assume similar to adults","CDFW. California Department of Fish and Wildlife https://wildlife.ca.gov/ (2023).","https://wildlife.ca.gov/Fishing/Ocean/Fish-ID/Sportfish/Other-Fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Carangidae","Seriola","Seriola lalandi","Seriola lalandi; Halatractus dorsalis Gill, 1863; Lichia pappei Bleeker, 1859; Seriola aureovittata Temminck & Schlegel, 1845; Seriola banisteri Smith, 1959; Seriola dorsalis (Gill, 1863); Seriola foncki Delfin, 1903; Seriola grandis Castelnau, 1872; Seriola lalandei dorsalis (Gill, 1863); Seriola mazatlana Steindachner, 1876; Seriola pappei (Bleeker, 1859)","species","larva","species level info, but not a lot out there","medium",NA,NA,NA,NA,NA,"epipelagic",NA,NA,3,0,0,1,0,0,"continental shelf","oceanic",NA,4,0,0,0,1,0,1,NA,NA,"Aceves-Medina, G., Jiménez-Rosenberg, S. P. A. & Durazo, R. Fish larvae as indicator species of interannual environmental variability in a subtropical transition area off the Baja California peninsula. Deep Sea Research Part II: Topical Studies in Oceanography 169–170, 1–14 (2019).","10.1016/j.dsr2.2019.07.019",NA,NA,NA,NA,NA,NA,"benthopelagic",1,NA,NA,"Woolley, L. D. & Qin, J. G. Ontogeny of body density and the swimbladder in yellowtail kingfish Seriola lalandi larvae. Journal of Fish Biology 82, 658–670 (2013).","10.1111/jfb.12020",NA,NA,NA,NA,0,"pelagic","Froese, R. & Pauly, D. FishBase. FishBase https://www.fishbase.se/search.php (2023).","https://www.fishbase.se/summary/Seriola-lalandi.html",NA,NA,NA,NA,NA,NA,1,"based on the family Carangidae ""Migration to inshore waters seems to occur when the fish are 21 to 50 mm SL""","Berry, F. H. Young jack crevalles (Caranx species) off the Southeastern Atlantic coast of the United States. Fishery Bulletin 59, 417–535 (1959).","https://books.google.ca/books?hl=en&lr=&id=y-pQZE2qZD0C&oi=fnd&pg=PA415-IA4&dq=Berry,+F.H.+1959.+Young+jack+crevalles+(Caranx+species)+off+the+southeastem+Atlantic+coast+of+the+United+States.+Fish+Bull.+US+59:412-463.&ots=jCSoRwrrKo&sig=jiew70dH2iI1bgI9halg6SOumVw&redir_esc=y#v=onepage&q&f=false",NA,NA,NA,NA,NA,"planktonic","schooling",NA,NA,3,0,0,1,NA,"Froese, R. & Pauly, D. FishBase. FishBase https://www.fishbase.se/search.php (2023).","https://www.fishbase.se/summary/Seriola-lalandi.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Amarsipidae","Amarsipus","Amarsipus carlsbergi","Amarsipus carlsbergi","species","larva","almost nothing known","low",NA,NA,NA,NA,NA,"epipelagic",NA,NA,3,0,0,1,0,0,"oceanic",NA,NA,6,0,0,0,0,0,1,NA,NA,"Ahlstrom, E. H., Butler, J. L. & Sumida, B. Y. Pelagic Stromateoid Fishes (Pisces, Perciformes) of the Eastern Pacific: Kinds, Distributions, and Early Life Histories and Observations on Five of these from the Northwest Atlantic. Bulletin of Marine Science 26, 285–402 (1976).","https://www.ingentaconnect.com/contentone/umrsmas/bullmar/1976/00000026/00000003/art00001?crawler=true&mimetype=application/pdf&casa_token=QOExBzwKu20AAAAA:v-20SlNFfb5hqlMc70HY4dwHBnKk5R2Cmby2382jMvo__jZysN4yrsMG11XYuwmBTGhMOHHzg0a7t8-o",NA,NA,NA,NA,NA,NA,"pelagic-neritic",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"pelagic","Ahlstrom, E. H., Butler, J. L. & Sumida, B. Y. Pelagic Stromateoid Fishes (Pisces, Perciformes) of the Eastern Pacific: Kinds, Distributions, and Early Life Histories and Observations on Five of these from the Northwest Atlantic. Bulletin of Marine Science 26, 285–402 (1976).","https://www.ingentaconnect.com/contentone/umrsmas/bullmar/1976/00000026/00000003/art00001?crawler=true&mimetype=application/pdf&casa_token=QOExBzwKu20AAAAA:v-20SlNFfb5hqlMc70HY4dwHBnKk5R2Cmby2382jMvo__jZysN4yrsMG11XYuwmBTGhMOHHzg0a7t8-o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinopterygii","Argentiniformes","Argentinidae","Argentina","Argentina sialis","Argentina sialis","species","juvenile","almost nothing known","low",11,325,9.1,18.5,14.4,"demersal","epipelagic","mesopelagic",2,0,1,1,1,0,"coastal","continental shelf","oceanic",3,0,0,1,1,0,1,NA,NA,"Ahlstromh, E. H., Moser, G. & Cohen, D. M. Argentinoidei: Development and Relationships. Ontogeny and systematics of fishes 1, 155–169 (1984).","https://swfsc-publications.fisheries.noaa.gov/publications/CR/1984/8402.PDF",NA,NA,NA,NA,NA,NA,"demersal",0,"likely not. Nothing about DVM for this family",NA,NA,NA,NA,NA,NA,NA,0,"juveniles still migrating to depth","Froese, R. & Pauly, D. FishBase. FishBase https://www.fishbase.se/search.php (2023).","https://www.fishbase.se/summary/Argentina-sialis.html","Ahlstromh, E. H., Moser, G. & Cohen, D. M. Argentinoidei: Development and Relationships. Ontogeny and systematics of fishes 1, 155–169 (1984).","https://swfsc-publications.fisheries.noaa.gov/publications/CR/1984/8402.PDF","Alaska Fisheries Science Center. NOAA Fisheries https://www.fisheries.noaa.gov/region/alaska (2023).","https://apps-afsc.fisheries.noaa.gov/ichthyo/LHDataIll.php?GSID=Argentina!sialis",NA,NA,1,"Another species in same family are reported to migrate to depth from larvae to adults","Kitagawa, Y. & Okiyama, M. Larvae and juveniles of the argentinid, Glossaanodon lineatus, with comments on ontogenetic pattern in the genus. Bulletin of Marine Science 60, 37–46 (1997).","https://www.ingentaconnect.com/contentone/umrsmas/bullmar/1997/00000060/00000001/art00004?crawler=true&mimetype=application/pdf",NA,NA,NA,NA,NA,NA,"schooling",NA,NA,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
