column,trait_type,description,data_type,values
class,,Species class name,annotation,class
order,,Species order name,annotation,order
family,,Species family name,annotation,family
genus,,Species genus name,annotation,genus
sci_name,,Species scientific name,annotation,genus + species
alt_names,,Alternate scientific names used presently or histroically,annotation,genus + species
tax_level,,Level of taxonomic identification,categorical,"class, order, family, genus, species"
life_stage,,Taxon life stage,categorical,"adult, juvenile, larva"
trait_note,,Trait confidence notes for assessing trait_confidence_cat.,annotation,NA
trait_confidence,,"Trait confidence, resource available and quantity of trait variables found.",categorical,"high, medium, low"
depth_min,habitat,Minimum depth limit recorded for this species.,continuous,depth (m)
depth_max,habitat,Maximum depth limit recorded for this species.,continuous,depth (m)
temp_min,habitat,Minimum temperature limit recorded for this species,continuous,temperature (˚C)
temp_max,habitat,Maximum temperature limit recorded for this species,continuous,temperature (˚C)
temp_mean,habitat,Average temperature recorded for this species,continuous,temperature (˚C)
vert_habitat,habitat,Primary vertical habitat association,categorical,"benthic, demersal, epipelagic, mesopelagic, bathypelagic"
vert_habitat_2,habitat,Secondary vertical habitat association,categorical,"benthic, demersal, epipelagic, mesopelagic, bathypelagic"
vert_habitat_3,habitat,Tertiary vertical habitat associaiton,categorical,"benthic, demersal, epipelagic, mesopelagic, bathypelagic"
vert_ordinal,habitat,Ordinal (numeric) version of primary vertical habitat association,ordinal,"1 = benthic, 2 = demersal, 3 = epipelagic, 4 = mesopelagic, 5 = bathypelagic"
vert_benthic,habitat,Benthic association,binomial,"1 = yes, 0 = no"
vert_demersal,habitat,Demersal association,binomial,"1 = yes, 0 = no"
vert_epipelagic,habitat,Epipelagic association,binomial,"1 = yes, 0 = no"
vert_mesopelagic,habitat,Mesopelagic association,binomial,"1 = yes, 0 = no"
vert_bathypelagic,habitat,Bathypelagic association,binomial,"1 = yes, 0 = no"
horz_habitat,habitat,Primary horizontal habitat association.,categorical,"intertidal, reef-associated, coastal, continental shelf, continental slope, oceanic, freshwater"
horz_habitat_2,habitat,Secondary horizontal habitat association,categorical,"intertidal, reef-associated, coastal, continental shelf, continental slope, oceanic, freshwater"
horz_habitat_3,habitat,Tertiary horizontal habitat association,categorical,"intertidal, reef-associated, coastal, continental shelf, continental slope, oceanic, freshwater"
horz_ordinal,habitat,Ordinal (numeric) version of primary horizontal habitat association,ordinal,"1 = intertidal, 2 = reef-associated, 3 = coastal, 4 = continental shelf, 5 = continental slope, 6 = oceanic, 7 = freshwater"
horz_intertidal,habitat,Intertidal association,binomial,"1 = yes, 0 = no"
horz_reef,habitat,Reef association,binomial,"1 = yes, 0 = no"
horz_coastal,habitat,Coastal association,binomial,"1 = yes, 0 = no"
horz_continental_shelf,habitat,Continental shelf association,binomial,"1 = yes, 0 = no"
horz_continental_slope,habitat,Continental slope and rise association,binomial,"1 = yes, 0 = no"
horz_oceanic,habitat,Oceanic/pelagic association,binomial,"1 = yes, 0 = no"
habitat_note,habitat,Notes about habitat association/species distribution,annotation,NA
habitat_note2,habitat,Additional information or quote about habitat association/species distribution,annotation,NA
habitat_ref,habitat,Reference for the habitat information,"reference, url",NA
habitat_url,habitat,Link to reference source,url,NA
habitat_ref2,habitat,Reference for the habitat information,"reference, url",NA
habitat_url2,habitat,Link to reference source,url,NA
habitat_ref3,habitat,Reference for the habitat information,"reference, url",NA
habitat_url3,habitat,Link to reference source,url,NA
habitat_ref4,habitat,Reference for the habitat information,"reference, url",NA
habitat_url4,habitat,Link to reference source,url,NA
DemersPelag,habitat,FishBase covariate describing habitat association. Use cautiously,categorical,"bathypelagic, benthic, demersal, host, mesopelagic, pelagic, reef-associated"
diel_migrant,behavioral,Diel/diurnal vertical migration behaviour. 1 = yes; 0 = no,binomial,"1 = yes, 0 = no"
