"class","order","family","genus","sci_name","tax_level","lipid","protein","energy","lipid_pacific","protein_pacific","energy_pacific","n_lipid","n_protein","n_energy","n_lipid_pacific","n_protein_pacific","n_energy_pacific","sd_lipid","sd_protein","sd_energy","sd_lipid_pacific","sd_protein_pacific","sd_energy_pacific"
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis","species",3.49,17.4,4.4,3.49,17.4,4.4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","species",6.5375,NA,NA,NA,NA,NA,4,0,0,0,0,0,4.86986909474988,NA,NA,NA,NA,NA
"Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria","species",0.6,0.1848,0.0573495999999999,0.6,0.1848,0.0573495999999999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Gadiformes","Macrouridae","Albatrossia","Albatrossia pectoralis","species",5.5,10.55,4.67533,5.5,10.55,4.67533,2,2,2,2,2,2,2.54558441227157,2.33345237791561,1.56356865669532,2.54558441227157,2.33345237791561,1.56356865669532
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox","species",NA,NA,1.7,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus","species",4.6586424,NA,4.84933581777778,4.85,NA,4.84933581777778,5,0,9,4,0,9,1.41136056887983,NA,0.980335949533425,1.55299710237978,NA,0.980335949533425
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis","Alloteuthis subulata","species",1.3,16.4,3.9,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima","species",5.975,NA,5.88587781,6.8,NA,5.88587781,4,0,1,1,0,1,1.26852933220587,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus","species",3.84966209375,16.6270522727273,4.54421284090909,3.85092657142857,16.6151458333333,4.52352011627907,64,55,44,63,54,43,1.91826604191596,1.06669986614352,0.904764878040517,1.93364716189907,1.07302066695794,0.904876267862187
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus","species",2.8,NA,4.85734121533333,2.8,NA,4.85734121533333,1,0,15,1,0,15,NA,NA,1.14760380854085,NA,NA,1.14760380854085
"Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","species",10.034,11.512,5.72177398083333,10.034,11.512,5.72177398083333,10,9,24,10,9,24,6.55259100576931,1.90417856305547,1.62945376624159,6.55259100576931,1.90417856305547,1.62945376624159
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus","Anotopterus pharao","species",NA,NA,10.87,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Perciformes","Caproidae","Antigonia","Antigonia capros","species",2.16,15.95,6.59,2.16,15.95,NA,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Gadiformes","Moridae","Antimora","Antimora rostrata","species",0.29,NA,4.32825,NA,NA,NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso","species",4.615,15.8,4.3,NA,NA,NA,2,1,1,0,0,0,2.9910616844191,NA,NA,NA,NA,NA
"Cephalopoda","Octopoda","Argonautidae","Argonauta","Argonauta argo","species",NA,NA,3.79374678966,NA,NA,3.79374678966,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus aculeatus","species",1,11.3,3.428,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus olfersii","species",1.3,14.8,3.5,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus","Argyropelecus sladeni","species",3.6,NA,NA,3.6,NA,NA,3,0,0,3,0,0,3.92300904918661,NA,NA,3.92300904918661,NA,NA
"Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus","Arnoglossus imperialis","species",1.8,18.8,5.4,NA,NA,NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes spp.","genus",NA,NA,2.60832,NA,NA,2.60832,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
