"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","trophic_level","troph_lev_se","troph_estimate","IUCN_status","fisheries_status","commercial","recreational"
"Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber",NA,"species","adult",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Gadiformes","Gadidae","Microgadus","Microgadus proximus",NA,"species","juvenile",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti",NA,"species","adult",3.1,0,"species","NE","none",0,0
"Actinopterygii","Anguilliformes","Congridae","Gnathophis","Gnathophis cinctus","Gnathophis cinctus; Atopichthys cinctus Garman; Gnathophis catalinensis (Wade, 1946); Rhynchocymba catalinensis","species","larva",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Anguilliformes","Ophichthidae","Ophichthus","Ophichthus zophochir","Ophichthus zophochir","species","larva",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Pleuronectiformes","Achiridae","Achirus","Achirus mazatlanus","Achirus mazatlanus; Solea mazatlana Steindachner, 1871","species","larva",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Aulopiformes","Synodontidae","Synodus","Synodus lucioceps","Synodus lucioceps","species","juvenile",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Perciformes","Carangidae","Seriola","Seriola lalandi","Seriola lalandi; Halatractus dorsalis Gill, 1863; Lichia pappei Bleeker, 1859; Seriola aureovittata Temminck & Schlegel, 1845; Seriola banisteri Smith, 1959; Seriola dorsalis (Gill, 1863); Seriola foncki Delfin, 1903; Seriola grandis Castelnau, 1872; Seriola lalandei dorsalis (Gill, 1863); Seriola mazatlana Steindachner, 1876; Seriola pappei (Bleeker, 1859)","species","larva",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Perciformes","Amarsipidae","Amarsipus","Amarsipus carlsbergi","Amarsipus carlsbergi","species","larva",NA,NA,NA,"NE","none",0,0
"Actinopterygii","Argentiniformes","Argentinidae","Argentina","Argentina sialis","Argentina sialis","species","juvenile",NA,NA,NA,"LC","none",0,0
