"class","order","family","genus","sci_name","tax_level","life_stage","depth_min","depth_max","temp_min","temp_max","temp_mean","vert_habitat","vert_benthic","vert_demersal","vert_epipelagic","vert_mesopelagic","vert_bathypelagic","horz_habitat","horz_intertidal","horz_reef","horz_coastal","horz_continental_shelf","horz_continental_slope","horz_oceanic","diel_migrant","refuge","season_migrant","body_shape","l_min_TL","l_max_TL","phys_defense","defense_spines","exoskeleton","transparent","col_disrupt","silver","countershade","photophore","gregarious","gregarious_solitary","gregarious_shoaling","gregarious_schooling","trophic_level","IUCN_status","commercial","recreational","lipid","protein","energy","lipid_pacific","protein_pacific","energy_pacific","TL_BH","SL_BH","TL_TH","SL_TH","SL_TL","eye_TL"
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi","species","adult",1,720,NA,NA,NA,"mesopelagic",1,0,1,1,0,"oceanic",0,0,0,1,0,1,1,0,1,"fusiform",5.47482165000285,6.79633032414147,0,0,0,1,1,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,3.71121297733179,1.93800262196403,2.5265529940566,1.35440394095111,0.529697620377915,0.0860430102695652
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi","species","juvenile",1,720,NA,NA,NA,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,1,0,1,1,0,1,"fusiform",NA,7.41733587296422,0,0,0,1,1,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,1,0,1,1,0,1,"fusiform",NA,NA,0,0,0,1,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia trigonura","species","adult",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.79991584094382,2.45325404192131,2.17940386463566,0.936834434614857,0.422398074359034,0.0934476440939656
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia trigonura","species","larva",NA,NA,NA,NA,NA,"mesopelagic",0,0,1,1,0,"oceanic",0,0,0,0,0,1,NA,0,NA,"elongated",NA,NA,0,0,0,1,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis","species","adult",NA,NA,NA,NA,NA,"mesopelagic",1,0,1,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,9.41080912162716,0,0,0,1,1,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,5.34538495821609,2.43759366870776,2.06812395438649,0.942679112317785,0.456921391606816,0.0697949529570643
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis","species","juvenile",NA,NA,NA,NA,NA,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,NA,0,0,0,1,1,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,NA,0,0,0,1,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis","species","adult",0,50,9.5,26.9,12.4,"mesopelagic",1,0,1,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",6.36718909990182,16.9791709330715,0,0,0,1,1,0,0,1,"schooling",0,0,1,NA,"LC",0,0,3.49,17.4,4.4,3.49,17.4,4.4,5.25640839058196,2.47469224071144,2.60568085776451,1.22819214881823,0.47116552578064,0.0383855137641389
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis","species","juvenile",0,50,9.5,26.9,12.4,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",1.35558207333484,7.67310607548022,0,0,0,1,1,0,0,1,"schooling",0,0,1,NA,"LC",0,0,3.49,17.4,4.4,3.49,17.4,4.4,4.33501631946769,1.69668795514078,2.86035803530917,1.1240362705621,0.390975958169879,0.0530527836465324
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,NA,0,0,0,1,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi","species","adult",7.5,750,2.894,20.663,NA,"mesopelagic",1,0,0,1,0,"continental slope",0,0,0,0,1,1,1,0,0,"fusiform",NA,12.0727221190135,0,0,0,0,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,5.63084699136462,2.37673120528329,2.37619241547317,1.00521548186716,0.422439939371084,0.0501037359549266
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi","species","juvenile",7.5,750,2.894,20.663,NA,"mesopelagic",0,0,0,1,0,"continental slope",0,0,0,0,1,0,1,0,0,"fusiform",NA,NA,0,0,0,0,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"continental slope",0,0,0,0,1,0,1,0,0,"fusiform",NA,NA,0,0,0,0,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii","species","adult",0,3660,NA,NA,NA,"mesopelagic",0,0,1,1,1,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,10.0189824057196,0,0,0,0,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,8.38990602283222,2.86750319386579,3.5887785787343,1.12288442340317,0.349336874571408,0.0421377421237308
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii","species","juvenile",0,3660,NA,NA,NA,"mesopelagic",0,0,1,1,1,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,NA,0,0,0,0,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii","species","larva",NA,NA,NA,NA,NA,"mesopelagic",0,0,0,1,0,"oceanic",0,0,0,0,0,1,1,0,0,"fusiform",NA,NA,0,0,0,0,0,0,0,1,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","species","adult",183,2500,1.9,10.4,5,"mesopelagic",0,0,0,1,1,"oceanic",0,0,0,0,1,1,1,0,1,"elongated",3.49761715147225,33.7270225320538,1,0,1,0,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,6.5375,NA,NA,NA,NA,NA,6.23705788599511,4.9197382078617,6.23705788599511,4.9197382078617,0.800545022150694,0.0221404596661903
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica","species","juvenile",183,2500,1.9,10.4,5,"mesopelagic",0,0,0,1,1,"oceanic",0,0,0,0,1,1,1,0,1,"elongated",NA,3.77011765249224,1,0,1,0,0,0,0,0,"schooling",0,0,1,NA,"NE",0,0,6.5375,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","species","adult",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.08933349556167,6.86257460798137,4.8574436059315,4.69076090894487,0.968131106472744,0.0206354274569091
"Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri","species","larva",0,20,18.2,27.6,24.7,"epipelagic",0,0,1,0,0,"oceanic",0,0,0,0,0,1,NA,NA,NA,"fusiform",0.25,NA,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"oceanic",1,0,0,0,0,1,NA,0,NA,"compressiform",NA,3.2,0,0,0,1,1,0,0,0,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Actinopterygii","Pleuronectiformes","Achiridae","Achirus","Achirus mazatlanus","species","larva",NA,NA,NA,NA,NA,"epipelagic",0,0,1,0,0,"coastal",0,0,1,0,0,0,0,0,NA,"compressiform",0.13,NA,0,0,0,0,0,0,0,0,"schooling",0,0,1,NA,"LC",0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Hydrozoa","Narcomedusae","Aeginidae","Aegina","Aegina citrea","species","adult",0,1600,1.3,10.6,5,"epipelagic",0,1,1,0,0,"oceanic",0,0,0,0,0,1,0,0,0,"globiform",1,5,0,0,0,1,0,0,0,0,"solitary",1,0,0,NA,"NE",0,0,-9999,-9999,-9999,-9999,-9999,-9999,2.21377839801582,2.21377839801582,2.21377839801582,2.21377839801582,1,0
"Hydrozoa","Narcomedusae","Aeginidae","Aegina","Aegina citrea","species","juvenile",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NA,NA,NA,NA,NA,NA
