"class","order","family","genus","sci_name","atlantic","ne_pacific","nw_pacific","indian","mediterranean","s_pacific","alb_global_analysis","cclme_alb_diet","cclme_fed_saip_pre","cclme_frdcps","cclme_dfo","cclme_iys","atl_med_ind","pacific"
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia trigonura",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis",0,1,0,0,0,0,1,1,0,0,0,0,0,1
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis",0,1,1,0,0,0,1,1,1,1,0,1,0,1
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis gilchristi",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii",1,0,0,1,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","Acanthephyra pelagica",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Acanthuridae","Acanthurus","Acanthurus triostegus",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Pleuronectiformes","Achiridae","Achirus","Achirus mazatlanus",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hydrozoa","Narcomedusae","Aeginidae","Aegina","Aegina citrea",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Aequorea victoria",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis sterletus",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Scorpaeniformes","Agonidae","Agonopsis","Agonopsis vulsa",0,0,0,0,0,0,0,0,1,1,1,0,0,1
"Actinopterygii","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus brevis",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Gadiformes","Macrouridae","Albatrossia","Albatrossia pectoralis",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Labrisomidae","Alloclinus","Alloclinus holderi",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus",0,0,0,0,0,0,0,0,1,1,1,0,1,1
"Cephalopoda","Myopsida","Loliginidae","Alloteuthis","Alloteuthis subulata",0,0,0,0,1,0,1,0,0,0,0,0,1,0
"Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima",0,0,0,0,0,0,0,0,1,1,1,0,0,1
"Malacostraca","Decapoda","Alpheidae","Alpheus","Alpheus glaber",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Amarsipidae","Amarsipus","Amarsipus carlsbergi",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus",0,0,0,0,0,0,0,0,1,0,1,0,1,1
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes tobianus",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Ammodytidae","Ammodytoides","Ammodytoides gilli",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Ammodytidae","Ammodytoides","Ammodytoides pylei",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","Anarrhichthys ocellatus",0,1,0,0,0,0,1,0,1,1,1,0,0,1
"Malacostraca","Amphipoda","Phrosinidae","Anchylomera","Anchylomera blossevillei",0,0,0,0,1,0,1,0,0,0,0,0,1,0
"Cephalopoda","Oegopsida","Ancistrocheiridae","Ancistrocheirus","Ancistrocheirus lesueurii",1,0,0,1,1,0,1,0,0,0,0,0,1,0
"Cephalopoda","Oegopsida","Onychoteuthidae","Ancistrocheirus","Ancistroteuthis lichtensteinii",1,0,0,0,1,0,1,0,0,0,0,0,1,0
