"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","body_shape","body_shape_ordinal","shape_eel_like","shape_elongated","shape_fusiform","shape_globiform","shape_compressiform","shape_depressiform","l_min_TL","l_max_TL","l_min","l_min_type","l_max","l_max_type","l_note","l_ref","l_url","l_ref2","l_url2","l_ref3","l_url3","l_ref4","l_url4","phys_defense","defense_spines_num","defense_spines","exoskeleton","exoskeleton_note","transparent","col_disrupt","col_disrupt_type","silver","countershade","countershade_silver_note","countershade_ref","countershade_url","silver_ref","silver_url","photophore_num","photophore","photophore_note","photophore_ref","photophore_url","photophore_ref2","photophore_url2","addl_ref","addl_url","addl_ref2","addl_url2","addl_ref3","addl_url3","addl_ref4","addl_url4","TL_BH","SL_BH","TL_TH","SL_TH","SL_TL","eye_TL","sd_TL_BH","sd_SL_BH","sd_TL_TH","sd_SL_TH","sd_SL_TL","sd_eye_TL","n_TL_BH","n_SL_BH","n_TL_TH","n_SL_TH","n_SL_TL","n_eye_TL"
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi",NA,"species","adult","fusiform",3,0,0,1,0,0,0,5.47482165000285,6.79633032414147,2.9,"ML",3.6,"ML","max length slightly higher in this paper than on sealifebase","Vecchione, M. & Roper, C. F. E. Cephalopods observed from submersibles in the Western North Atlantic. Bulletin of Marine Science 49, 433–445 (1991).","https://www.ingentaconnect.com/contentone/umrsmas/bullmar/1991/00000049/f0020001/art00039?crawler=true&mimetype=application/pdf",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,"spots (chromatophores)",0,0,NA,NA,NA,NA,NA,"9",1,NA,"Tsuchiya, K. & Young, R. E. Abralia redfieldi. Tree of Life Project http://tolweb.org/Abralia_redfieldi/19661 (2018).","http://tolweb.org/Abralia_redfieldi/19661",NA,NA,"Tsuchiya, K. & Young, R. E. Abralia redfieldi. Tree of Life Project http://tolweb.org/Abralia_redfieldi/19661 (2018).","http://tolweb.org/Abralia_redfieldi/19661","Hendrickx, M. E., Urbano, B. & Zamorano, P. Distribution of pelagic squids Abraliopsis Joubin, 1896 (Enoploteuthidae) and Pterygioteuthis P. Fischer, 1896 (Pyroteuthidae) (Cephalopoda, Decapodiformes, Oegopsida) in the Mexican Pacific. Zookeys 537, 51–64 (2015).","10.3897/zookeys.537.6023",NA,NA,NA,NA,3.71121297733179,1.93800262196403,2.5265529940566,1.35440394095111,0.529697620377915,0.0860430102695652,0.479565355988204,0.269413243772293,0.395797905802946,0.435823754153389,0.117340536941839,0.0357227800231763,3,3,3,3,3,3
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi",NA,"species","juvenile","fusiform",3,0,0,1,0,0,0,NA,7.41733587296422,NA,NA,2.9,"ML","mature female at 29mmML but unsure whether maturation can be earlier, likely is considering the max length","Tsuchiya, K. & Young, R. E. Abralia redfieldi. Tree of Life Project http://tolweb.org/Abralia_redfieldi/19661 (2018).","http://tolweb.org/Abralia_redfieldi/19661",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,"spots (chromatophores)",0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,"Tsuchiya, K. & Young, R. E. Abralia redfieldi. Tree of Life Project http://tolweb.org/Abralia_redfieldi/19661 (2018).","http://tolweb.org/Abralia_redfieldi/19661","Hendrickx, M. E., Urbano, B. & Zamorano, P. Distribution of pelagic squids Abraliopsis Joubin, 1896 (Enoploteuthidae) and Pterygioteuthis P. Fischer, 1896 (Pyroteuthidae) (Cephalopoda, Decapodiformes, Oegopsida) in the Mexican Pacific. Zookeys 537, 51–64 (2015).","10.3897/zookeys.537.6023",NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia redfieldi",NA,"species","larva","fusiform",3,0,0,1,0,0,0,NA,NA,0.25,"ML",NA,"ML","one individual of 2.5mmML","Golub, A. N. Oceanographic Factors Influencing Squid Larval Distribution in the Southwest Atlantic. The Response of Cephalopod Populations and Fisheries to Changing Environment and Ecosystems 1–10 (2001).","https://www.ices.dk/sites/pub/CM%20Doccuments/2001/K/K1201.pdf",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia trigonura",NA,"species","adult","-9999",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",-9999,-9999,-9999,-9999,"-9999",-9999,-9999,"-9999",-9999,-9999,"-9999","-9999","-9999","-9999","-9999","-9999",-9999,"-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999",NA,NA,5.79991584094382,2.45325404192131,2.17940386463566,0.936834434614857,0.422398074359034,0.0934476440939656,0.640896819944201,0.331903211230709,NA,NA,0.0105500890532735,0.0446003656860765,2,2,1,1,2,2
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia trigonura","Abralia (Heterabralia) trigonura","species","larva","elongated",2,0,1,0,0,0,0,NA,NA,0.1,"ML",0.5,"ML",NA,"Tsuchiya, K. & Young, R. E. Abralia trigonura. Tree of Life Project http://tolweb.org/Abralia_trigonura/19659 (2018).","http://tolweb.org/Abralia_trigonura/19659",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,"1",1,NA,"Tsuchiya, K. & Young, R. E. Abralia trigonura. Tree of Life Project http://tolweb.org/Abralia_trigonura/19659 (2018).","http://tolweb.org/Abralia_trigonura/19659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis",NA,"species","adult","fusiform",3,0,0,1,0,0,0,NA,9.41080912162716,NA,NA,4.3,"ML",NA,"Palomares, M. L. D. & Pauly, D. SeaLifeBase. SeaLifeBase https://www.sealifebase.ca/ (2023).","https://www.sealifebase.se/summary/Abraliopsis-affinis.html","Burgess, L., Young, R. E. & Tsuchiya, K. Abraliopsis affinis. Tree of Life Project http://tolweb.org/Abraliopsis_affinis/19682 (2013).","http://tolweb.org/Abraliopsis_affinis/19682",NA,NA,NA,NA,0,0,0,0,NA,1,1,"spots (chromatophores)",0,0,NA,NA,NA,NA,NA,"present",1,NA,"Burgess, L., Young, R. E. & Tsuchiya, K. Abraliopsis affinis. Tree of Life Project http://tolweb.org/Abraliopsis_affinis/19682 (2013).","http://tolweb.org/Abraliopsis_affinis/19682",NA,NA,"Abraliopsis affinis. Wikipedia https://en.wikipedia.org/w/index.php?title=Abraliopsis_affinis&oldid=1056199555 (2021).","https://en.wikipedia.org/w/index.php?title=Abraliopsis_affinis&oldid=1056199555","Hendrickx, M. E., Urbano, B. & Zamorano, P. Distribution of pelagic squids Abraliopsis Joubin, 1896 (Enoploteuthidae) and Pterygioteuthis P. Fischer, 1896 (Pyroteuthidae) (Cephalopoda, Decapodiformes, Oegopsida) in the Mexican Pacific. Zookeys 537, 51–64 (2015).","10.3897/zookeys.537.6023",NA,NA,NA,NA,5.34538495821609,2.43759366870776,2.06812395438649,0.942679112317785,0.456921391606816,0.0697949529570643,0.465440510214773,0.10179617477457,0.22090171590917,0.0580378564017601,0.0207419206903954,0.00725504046749587,2,2,2,2,2,2
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis",NA,"species","juvenile","fusiform",3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,"spots (chromatophores)",0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,"Abraliopsis affinis. Wikipedia https://en.wikipedia.org/w/index.php?title=Abraliopsis_affinis&oldid=1056199555 (2021).","https://en.wikipedia.org/w/index.php?title=Abraliopsis_affinis&oldid=1056199555","Hendrickx, M. E., Urbano, B. & Zamorano, P. Distribution of pelagic squids Abraliopsis Joubin, 1896 (Enoploteuthidae) and Pterygioteuthis P. Fischer, 1896 (Pyroteuthidae) (Cephalopoda, Decapodiformes, Oegopsida) in the Mexican Pacific. Zookeys 537, 51–64 (2015).","10.3897/zookeys.537.6023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis affinis",NA,"species","larva","fusiform",3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,"present",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis",NA,"species","adult","fusiform",3,0,0,1,0,0,0,6.36718909990182,16.9791709330715,3,"ML",8,"ML",NA,"Palomares, M. L. D. & Pauly, D. SeaLifeBase. SeaLifeBase https://www.sealifebase.ca/ (2023).","https://www.sealifebase.se/summary/Abraliopsis-felis.html","Scripps Institution of Oceanography. Scripps Institution of Oceanography https://scripps.ucsd.edu/home (2023).","http://sio-legacy.ucsd.edu/zooplanktonguide/species/abraliopsis-felis",NA,NA,NA,NA,0,0,0,0,NA,1,1,"spots (chromatophores)",0,0,NA,NA,NA,NA,NA,"present",1,NA,"Tsuchiya, K. & Young, R. E. Abraliopsis (Boreabraliopsis) felis. Tree of Life Project http://tolweb.org/Abraliopsis_(Boreabraliopsis)_felis/19686 (2015).","http://tolweb.org/Abraliopsis_(Boreabraliopsis)_felis/19686",NA,NA,"Google Images. https://images.google.com/ (2023).","https://images.google.com/",NA,NA,NA,NA,NA,NA,5.25640839058196,2.47469224071144,2.60568085776451,1.22819214881823,0.47116552578064,0.0383855137641389,0.318750887932226,0.164831261877166,0.0961336226465382,0.0856829479893349,0.0232725133102087,0.00596025974881254,6,6,6,6,6,6
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis",NA,"species","juvenile","fusiform",3,0,0,1,0,0,0,1.35558207333484,7.67310607548022,0.53,"ML",3,"ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,1,"spots (chromatophores)",0,0,NA,"Okutani, T. & McGowan, J. A. Systematics, distribution, and abundance of the epiplanktonic squid (Cephalopoda, Decapoda) larvae of the California Current, April, 1954- March, 1957. Bulletin of the SCRIPPS Institution of Oceanography 14, 1–90 (1969).","https://escholarship.org/content/qt09g2j7s8/qt09g2j7s8.pdf?t=lnr848","Okutani, T. & McGowan, J. A. Systematics, distribution, and abundance of the epiplanktonic squid (Cephalopoda, Decapoda) larvae of the California Current, April, 1954- March, 1957. Bulletin of the SCRIPPS Institution of Oceanography 14, 1–90 (1969).","https://escholarship.org/content/qt09g2j7s8/qt09g2j7s8.pdf?t=lnr848","present",1,NA,NA,NA,NA,NA,"Google Images. https://images.google.com/ (2023).","https://images.google.com/",NA,NA,NA,NA,NA,NA,4.33501631946769,1.69668795514078,2.86035803530917,1.1240362705621,0.390975958169879,0.0530527836465324,0.158408389339862,0.123406344445159,0.523331135252168,0.244604580057213,0.0157005829330141,0.00696690800985353,6,6,6,6,6,3
