column,description,data_type,values
class,Species class name,annotation,class
order,Species order name,annotation,order
family,Species family name,annotation,family
genus,Species genus name,annotation,genus
sci_name,Species scientific name,annotation,genus + species
alt_names,Alternate scientific names used presently or histroically,annotation,genus + species
tax_level,Level of taxonomic identification,categorical,"class, order, family, genus, species"
life_stage,Taxon life stage,categorical,"adult, juvenile, larva"
trophic_level,Trophic Level. FishBase covariate.,continuous,0-5
troph_lev_se,Standard error (SE) for trophic_level.,continuous,NA
troph_estimate,Source of diet estimation in FishBase for trophic_level,categorical,"species, genus, relatives, food items"
IUCN_status,IUCN Redlist status. DD = Data Deficient; LC = Least Concern; NT = Near Threatened; VU= Vulnerable; EN = Endangered; CR = Critically Endangered; EW =  Extinct In The Wild; EX = Extinct; NE = Not Evaluated.,categorical,"DD, LC, NT, VU, EN, CR, EW, EX, NE"
fisheries_status,Summary of commercial & recreational value. For adult life stage only.,categorical,"none, potential, recreational, subsistence, minor commercial, commercial, highly commercial, aquarium"
commercial,Does the specie have commercial value?,binomial,"1 = yes, 0 = no"
recreational,Does the specie have recreational value?,binomial,"1 = yes, 0 = no"
